Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
63,6.0,2.2,4.0,1.0,Iris-versicolour
64,6.1,2.9,4.7,1.4,Iris-versicolour
65,5.6,2.9,3.6,1.3,Iris-versicolour
66,6.7,3.1,4.4,1.4,Iris-versicolour
67,5.6,3.0,4.5,1.5,Iris-versicolour
68,5.8,2.7,4.1,1.0,Iris-versicolour
69,6.2,2.2,4.5,1.5,Iris-versicolour
70,5.6,2.5,3.9,1.1,Iris-versicolour
71,5.9,3.2,4.8,1.8,Iris-versicolour
72,6.1,2.8,4.0,1.3,Iris-versicolour
73,6.3,2.5,4.9,1.5,Iris-versicolour
74,6.1,2.8,4.7,1.2,Iris-versicolour
75,6.4,2.9,4.3,1.3,Iris-versicolour
76,6.6,3.0,4.4,1.4,Iris-versicolour
77,6.8,2.8,4.8,1.4,Iris-versicolour
78,6.7,3.0,5.0,1.7,Iris-versicolour
79,6.0,2.9,4.5,1.5,Iris-versicolour
80,5.7,2.6,3.5,1.0,Iris-versicolour
81,5.5,2.4,3.8,1.1,Iris-versicolour
82,5.5,2.4,3.7,1.0,Iris-versicolour
83,5.8,2.7,3.9,1.2,Iris-versicolour
84,6.0,2.7,5.1,1.6,Iris-versicolour
85,5.4,3.0,4.5,1.5,Iris-versicolour
86,6.0,3.4,4.5,1.6,Iris-versicolour
87,6.7,3.1,4.7,1.5,Iris-versicolour
88,6.3,2.3,4.4,1.3,Iris-versicolour
89,5.6,3.0,4.1,1.3,Iris-versicolour
90,5.5,2.5,4.0,1.3,Iris-versicolour
91,5.5,2.6,4.4,1.2,Iris-versicolour
92,6.1,3.0,4.6,1.4,Iris-versicolour
93,5.8,2.6,4.0,1.2,Iris-versicolour
94,5.0,2.3,3.3,1.0,Iris-versicolour
95,5.6,2.7,4.2,1.3,Iris-versicolour
96,5.7,3.0,4.2,1.2,Iris-versicolour
97,5.7,2.9,4.2,1.3,Iris-versicolour
98,6.2,2.9,4.3,1.3,Iris-versicolour
99,5.1,2.5,3.0,1.1,Iris-versicolour
100,5.7,2.8,4.1,1.3,Iris-versicolour
101,6.3,3.3,6.0,2.5,Iris-not-versicolour
102,5.8,2.7,5.1,1.9,Iris-not-versicolour
103,7.1,3.0,5.9,2.1,Iris-not-versicolour
104,6.3,2.9,5.6,1.8,Iris-not-versicolour
105,6.5,3.0,5.8,2.2,Iris-not-versicolour
106,7.6,3.0,6.6,2.1,Iris-not-versicolour
107,4.9,2.5,4.5,1.7,Iris-not-versicolour
108,7.3,2.9,6.3,1.8,Iris-not-versicolour
109,6.7,2.5,5.8,1.8,Iris-not-versicolour
110,7.2,3.6,6.1,2.5,Iris-not-versicolour
111,6.5,3.2,5.1,2.0,Iris-not-versicolour
112,6.4,2.7,5.3,1.9,Iris-not-versicolour
113,6.8,3.0,5.5,2.1,Iris-not-versicolour
114,5.7,2.5,5.0,2.0,Iris-not-versicolour
115,5.8,2.8,5.1,2.4,Iris-not-versicolour
116,6.4,3.2,5.3,2.3,Iris-not-versicolour
117,6.5,3.0,5.5,1.8,Iris-not-versicolour
118,7.7,3.8,6.7,2.2,Iris-not-versicolour
119,7.7,2.6,6.9,2.3,Iris-not-versicolour
120,6.0,2.2,5.0,1.5,Iris-not-versicolour
121,6.9,3.2,5.7,2.3,Iris-not-versicolour
122,5.6,2.8,4.9,2.0,Iris-not-versicolour
123,7.7,2.8,6.7,2.0,Iris-not-versicolour
124,6.3,2.7,4.9,1.8,Iris-not-versicolour
125,6.7,3.3,5.7,2.1,Iris-not-versicolour
126,7.2,3.2,6.0,1.8,Iris-not-versicolour
127,6.2,2.8,4.8,1.8,Iris-not-versicolour
128,6.1,3.0,4.9,1.8,Iris-not-versicolour
129,6.4,2.8,5.6,2.1,Iris-not-versicolour
130,7.2,3.0,5.8,1.6,Iris-not-versicolour
131,7.4,2.8,6.1,1.9,Iris-not-versicolour
132,7.9,3.8,6.4,2.0,Iris-not-versicolour
133,6.4,2.8,5.6,2.2,Iris-not-versicolour
134,6.3,2.8,5.1,1.5,Iris-not-versicolour
135,6.1,2.6,5.6,1.4,Iris-not-versicolour
136,7.7,3.0,6.1,2.3,Iris-not-versicolour
137,6.3,3.4,5.6,2.4,Iris-not-versicolour
138,6.4,3.1,5.5,1.8,Iris-not-versicolour
139,6.0,3.0,4.8,1.8,Iris-not-versicolour
140,6.9,3.1,5.4,2.1,Iris-not-versicolour
141,6.7,3.1,5.6,2.4,Iris-not-versicolour
142,6.9,3.1,5.1,2.3,Iris-not-versicolour
143,5.8,2.7,5.1,1.9,Iris-not-versicolour
144,6.8,3.2,5.9,2.3,Iris-not-versicolour
145,6.7,3.3,5.7,2.5,Iris-not-versicolour
146,6.7,3.0,5.2,2.3,Iris-not-versicolour
147,6.3,2.5,5.0,1.9,Iris-not-versicolour
148,6.5,3.0,5.2,2.0,Iris-not-versicolour
149,6.2,3.4,5.4,2.3,Iris-not-versicolour
150,5.9,3.0,5.1,1.8,Iris-not-versicolour
