Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
78,6.7,3.0,5.0,1.7,Iris-not-setosa
79,6.0,2.9,4.5,1.5,Iris-not-setosa
80,5.7,2.6,3.5,1.0,Iris-not-setosa
81,5.5,2.4,3.8,1.1,Iris-not-setosa
82,5.5,2.4,3.7,1.0,Iris-not-setosa
83,5.8,2.7,3.9,1.2,Iris-not-setosa
84,6.0,2.7,5.1,1.6,Iris-not-setosa
85,5.4,3.0,4.5,1.5,Iris-not-setosa
86,6.0,3.4,4.5,1.6,Iris-not-setosa
87,6.7,3.1,4.7,1.5,Iris-not-setosa
88,6.3,2.3,4.4,1.3,Iris-not-setosa
89,5.6,3.0,4.1,1.3,Iris-not-setosa
90,5.5,2.5,4.0,1.3,Iris-not-setosa
91,5.5,2.6,4.4,1.2,Iris-not-setosa
92,6.1,3.0,4.6,1.4,Iris-not-setosa
93,5.8,2.6,4.0,1.2,Iris-not-setosa
94,5.0,2.3,3.3,1.0,Iris-not-setosa
95,5.6,2.7,4.2,1.3,Iris-not-setosa
96,5.7,3.0,4.2,1.2,Iris-not-setosa
97,5.7,2.9,4.2,1.3,Iris-not-setosa
98,6.2,2.9,4.3,1.3,Iris-not-setosa
99,5.1,2.5,3.0,1.1,Iris-not-setosa
100,5.7,2.8,4.1,1.3,Iris-not-setosa
101,6.3,3.3,6.0,2.5,Iris-not-setosa
102,5.8,2.7,5.1,1.9,Iris-not-setosa
103,7.1,3.0,5.9,2.1,Iris-not-setosa
104,6.3,2.9,5.6,1.8,Iris-not-setosa
105,6.5,3.0,5.8,2.2,Iris-not-setosa
106,7.6,3.0,6.6,2.1,Iris-not-setosa
107,4.9,2.5,4.5,1.7,Iris-not-setosa
108,7.3,2.9,6.3,1.8,Iris-not-setosa
109,6.7,2.5,5.8,1.8,Iris-not-setosa
110,7.2,3.6,6.1,2.5,Iris-not-setosa
111,6.5,3.2,5.1,2.0,Iris-not-setosa
112,6.4,2.7,5.3,1.9,Iris-not-setosa
113,6.8,3.0,5.5,2.1,Iris-not-setosa
114,5.7,2.5,5.0,2.0,Iris-not-setosa
115,5.8,2.8,5.1,2.4,Iris-not-setosa
116,6.4,3.2,5.3,2.3,Iris-not-setosa
117,6.5,3.0,5.5,1.8,Iris-not-setosa
118,7.7,3.8,6.7,2.2,Iris-not-setosa
119,7.7,2.6,6.9,2.3,Iris-not-setosa
120,6.0,2.2,5.0,1.5,Iris-not-setosa
121,6.9,3.2,5.7,2.3,Iris-not-setosa
122,5.6,2.8,4.9,2.0,Iris-not-setosa
123,7.7,2.8,6.7,2.0,Iris-not-setosa
124,6.3,2.7,4.9,1.8,Iris-not-setosa
125,6.7,3.3,5.7,2.1,Iris-not-setosa
126,7.2,3.2,6.0,1.8,Iris-not-setosa
127,6.2,2.8,4.8,1.8,Iris-not-setosa
128,6.1,3.0,4.9,1.8,Iris-not-setosa
129,6.4,2.8,5.6,2.1,Iris-not-setosa
130,7.2,3.0,5.8,1.6,Iris-not-setosa
131,7.4,2.8,6.1,1.9,Iris-not-setosa
132,7.9,3.8,6.4,2.0,Iris-not-setosa
133,6.4,2.8,5.6,2.2,Iris-not-setosa
134,6.3,2.8,5.1,1.5,Iris-not-setosa
135,6.1,2.6,5.6,1.4,Iris-not-setosa
136,7.7,3.0,6.1,2.3,Iris-not-setosa
137,6.3,3.4,5.6,2.4,Iris-not-setosa
138,6.4,3.1,5.5,1.8,Iris-not-setosa
139,6.0,3.0,4.8,1.8,Iris-not-setosa
140,6.9,3.1,5.4,2.1,Iris-not-setosa
141,6.7,3.1,5.6,2.4,Iris-not-setosa
142,6.9,3.1,5.1,2.3,Iris-not-setosa
143,5.8,2.7,5.1,1.9,Iris-not-setosa
144,6.8,3.2,5.9,2.3,Iris-not-setosa
145,6.7,3.3,5.7,2.5,Iris-not-setosa
146,6.7,3.0,5.2,2.3,Iris-not-setosa
147,6.3,2.5,5.0,1.9,Iris-not-setosa
148,6.5,3.0,5.2,2.0,Iris-not-setosa
149,6.2,3.4,5.4,2.3,Iris-not-setosa
150,5.9,3.0,5.1,1.8,Iris-not-setosa
